inventory_id,structure_name,data_source,structure_type,anchor_id,anchor_type,steel_tensile_strength_char,steel_xsect_area,anchor_load_char_calculation_method,anchor_load_char,warning_value_calculation_method,alarm_value_calculation_method,warning_value,alarm_value,installation_date,installed_anchor_load,measurement_date,measured_anchor_load,stress_unit,force_unit,area_unit
IO-Nummer,Objektname,Dateiquelle,Bauwerktyp,Anker ID,Ankertyp,zul. Stahlfestigkeit,Stahlquerschnitt,Berechnungsmethode zul. Ankerkraft,zul. Ankerkraft,Berechnungsmethode Aufmerksamkeitswert,Berechnungsmethode Interventionswert,Aufmerksamkeitswert,Interventionswert,Baujahr,installierte Ankerkraft,Messdatum,gemssene Ankerkrfaft,Spannungseinheit,Krafteinheit,Flächeneinheit
02.08.60.723.02,SM Wäldli 1 BR - SP,SM1,Stützmauer,18.b,VSL Typ EA35 5-12/12,1770,1116,,,,,,,1983,1000,1996,1174,MPa,kN,mm
02.08.60.723.02,SM Wäldli 1 BR - SP,SM1,Stützmauer,17.a,VSL Typ EA35 5-12/12,1770,1116,,,,,,,1983,1000,1996,1210,MPa,kN,mm
02.08.60.723.02,SM Wäldli 1 BR - SP,SM1,Stützmauer,17.b,VSL Typ EA35 5-12/12,1770,1116,,,,,,,1983,1000,1996,1210,MPa,kN,mm
02.08.60.723.02,SM Wäldli 1 BR - SP,SM1,Stützmauer,16.a,VSL Typ EA35 5-12/12,1770,1116,,,,,,,1983,1000,1996,1230,MPa,kN,mm
02.08.60.723.02,SM Wäldli 1 BR - SP,SM1,Stützmauer,16.b,VSL Typ EA35 5-12/12,1770,1116,,,,,,,1983,1000,1996,1210,MPa,kN,mm
02.08.60.723.02,SM Wäldli 1 BR - SP,SM1,Stützmauer,15.a,VSL Typ EA35 5-12/12,1770,1344,,,,,,,1983,1000,1996,1145,MPa,kN,mm
02.08.60.723.02,SM Wäldli 1 BR - SP,SM1,Stützmauer,15.b,VSL Typ EA35 5-12/12,1770,1116,,,,,,,1983,1000,1996,1110,MPa,kN,mm
02.08.60.723.02,SM Wäldli 1 BR - SP,SM1,Stützmauer,14.a,VSL Typ EA35 5-12/12,1770,1116,,,,,,,1983,750,1996,885,MPa,kN,mm
02.08.60.723.02,SM Wäldli 1 BR - SP,SM1,Stützmauer,14.b,VSL Typ EA35 5-12/12,1770,1116,,,,,,,1983,750,1996,895,MPa,kN,mm
02.08.60.723.02,SM Wäldli 1 BR - SP,SM1,Stützmauer,10.b,VSL Typ EA35 5-12/12,1770,1116,,,,,,,1983,1000,1996,1290,MPa,kN,mm
02.08.60.723.02,SM Wäldli 1 BR - SP,SM1,Stützmauer,9.b,VSL Typ EA35 5-12/12,1770,1116,,,,,,,1983,1000,1996,1175,MPa,kN,mm
02.08.60.410.51,BRÜCKE Wäldli,SM1,Stützmauer,18.2,VSL Typ EA35 5-12/12,1770,1116,,,,,,,1983,920,1996,1045,MPa,kN,mm
02.08.60.410.50,BRÜCKE SM Wäldli 1,SM1,Stützmauer,24.1a,VSL Typ EA35 5-12/12,1770,1116,,,,,,,1983,1000,2004,1170,MPa,kN,mm
02.08.60.410.50,BRÜCKE SM Wäldli 1,SM1,Stützmauer,24.1b,VSL Typ EA35 5-12/12,1770,1116,,,,,,,1983,1000,2004,1152,MPa,kN,mm
02.08.60.723.02,SM Wäldli 1 BR - SP,SM1,Stützmauer,20.a,VSL Typ EA35 5-12/12,1770,1116,,,,,,,1983,1000,2004,1146,MPa,kN,mm
02.08.60.723.02,SM Wäldli 1 BR - SP,SM1,Stützmauer,20.b,VSL Typ EA35 5-12/12,1770,1344,,,,,,,1983,1000,2004,1150,MPa,kN,mm
